Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Media Condition,Collection Sleeve Condition,Collection Notes
VIS0303,Chez Damier & Ralph Lawson,Moments In Time,20:20 Vision,"12"", EP, 180",,2026,36854320,Uncategorized,2026-08-05 17:02:06,30,,,
VIS0303,Chez Damier & Ralph Lawson,Moments In Time,20:20 Vision,"12"", EP, 180",,2026,36854320,Uncategorized,2026-08-08 16:36:12,30,,,
TFC 9403,B-Street Collective,I'm Gonna Get Ya / Good Thing,21st Century Records (4),"12""",,1994,5350854,Uncategorized,2026-08-07 18:08:54,,,,
none,DJ Versatile (2),King Of The Beats E.P.,315 Records,"12"", EP",,0,2527870,Uncategorized,2026-08-12 01:40:47,,,,
003,Cédric Dekowski & Felix Reifenberg,Sessionyo ,87 Records,"12"", EP",,2013,4200644,Uncategorized,2026-08-08 16:59:50,20,,,
A1-002,Da Goose,Storm,A1 Records,"12""",,1996,89073,Uncategorized,2026-08-12 02:14:16,,,,
ACE 0001,Trak 3,Underground Dance Party,Ace Beat Records,"12""",,1990,131139,Uncategorized,2026-08-12 00:42:48,,,,
AFLS01,Various,Airfunk Lounge Series Vol.1,AirFunk,"3x12"", Comp",,2025,34222807,Uncategorized,2026-08-03 14:51:46,,,,
AKU025,Nick Beringer,BRNGR444,Aku,"12""",,2024,32125155,Uncategorized,2026-07-30 12:48:47,,,,
AKU026,Subb-an,Prism EP,Aku,"12"", Promo, W/Lbl",,2025,34181992,Uncategorized,2026-07-31 16:30:49,,,,
ALT 002,Various,Tekmics L'Album,Altitude Records (2),"2xLP, Comp",,1996,1170117,Uncategorized,2026-08-12 01:46:17,,,,
AR004,Ron S.,Fundamentals Volume 1,Anode Records,"12""",,2001,33269,Uncategorized,2026-08-05 18:21:01,25,,,
2292-1RLDJ,Suzann Rye,Porque Me Amaste = Because You Loved Me (The Remixes),Ariola Dance,"12"", Promo",,1996,12361191,Uncategorized,2026-08-11 20:07:34,,,,
07822-13823-1,Whitney Houston,I Learned From The Best,Arista,"2x12""",,2000,602449,Uncategorized,2026-08-03 19:29:28,,,,
ADP-3484,Aretha Franklin,A Rose Is Still A Rose (The Remixes),Arista,"2x12"", Promo",,1998,587958,Uncategorized,2026-07-31 19:16:12,,,,
ARDP-3761,Eurythmics,17 Again (Peter Rauhofer Mixes),Arista,"12"", Promo",,1999,800737,Uncategorized,2026-08-12 02:35:47,,,,
ATL-006,Naya,A Little Head / We Need Love,Atlas Records (10),"12""",,1994,244151,Uncategorized,2026-08-12 02:09:27,,,,
A05,Unknown Artist,Atoll 05,Atoll Music (5),"12"", 180",,2018,12071490,Uncategorized,2026-08-03 14:53:40,,,,
AEM010,Lowris, Mabête EP,Æternum Music,"12""",,2017,10501869,Uncategorized,2026-08-05 16:57:36,10,,,
BIG 5073-12,Salina,Isla Del Amor,B.I.G.,"12""",,2000,1143420,Uncategorized,2026-08-03 20:10:44,,,,
TISH02,Harry Wills & Enchanted Rhythms,Okie Dokie Ep,Ba Dum Tish,"12"", EP",,2025,35932738,Uncategorized,2026-07-31 19:55:24,,,,
WALLOP01,Captain Wallop,Cuz I Like It EP,Ba Dum Tish,"12"", EP",,2026,37040235,Uncategorized,2026-07-31 15:44:27,,,,
BBZ-104,Fishbelly Black,Spontaneous Combustion,Backbeat Records,"12""",,1992,1175546,Uncategorized,2026-08-12 00:44:04,,,,
BBDP-9428,Faith Evans,Limited Edition DJ Vinyl,Bad Boy Entertainment,"12"", Ltd, Promo, Smplr",,2001,2338411,Uncategorized,2026-08-11 20:20:01,,,,
BPBL07,Adelina,Black Label Series 07,Banoffee Pies,"12"", EP",,2023,29382190,Uncategorized,2026-08-03 19:05:02,,,,
BASIC002,DJ Pro One,Ghetto Wars EP,Basic Electronic,"12"", EP, W/Lbl, Sti",,1996,2504139,Uncategorized,2026-08-12 01:31:40,,,,
BCR075,D'Julz,The School Of Night Remixes EP,Bass Culture Records,"12"", EP",,2025,33978891,Uncategorized,2026-07-31 16:52:35,,,,
0-10110,Robin S.,Show Me Love,Big Beat,"12""",,1993,58880,Uncategorized,2026-08-03 19:15:07,,,,
BIZR007,Oliver.r,Stirred Not Shaken EP,Bizarre Trax,"12"", EP",,2026,36304066,Uncategorized,2026-08-03 19:05:07,,,,
BD002,JONGHO,Confrontation,BLEND(-),"12"", EP",,2026,37124442,Uncategorized,2026-08-05 17:19:07,20,,,
INT 145.553,Various,The World Of Techno,Blow Up,"LP, Comp",,1991,418342,Uncategorized,2026-08-07 17:06:13,25,,,
BONIFACE02,Boniface (5),Black Hole,Boniface,"12""",,2017,11026197,Uncategorized,2026-07-31 19:46:34,,,,
BOSS - 002,Various,Biscuit Sampler Vol. 1,Boss Trax,"12"", Smplr",,2019,13956695,Uncategorized,2026-08-12 03:10:20,,,,
BF 005,Twow! Kidz,Yellow Room's Journey,Breakfast,"12"", W/Lbl",,0,14552159,Uncategorized,2026-08-12 02:28:27,,,,
KRAK4044,Danski & DJ Delmundo,Deejay Survivalkit,Breakin' Records (4),"12""",,1998,99894,Uncategorized,2026-08-12 02:44:31,,,,
CHLT 002,Various,Psalmpler,Capital Heaven,"12""",,1996,78899,Uncategorized,2026-08-07 16:56:34,,,,
V-15602,Curtis Mayfield And Ice-T,Superfly 1990,Capitol Records,"12"", Single",,1990,38220,Uncategorized,2026-08-08 16:10:21,5,,,
CHXIV015,mattrogg,Orizon Amoni,Chapelle XIV Music,"12""",,0,32419212,Uncategorized,2026-07-31 15:50:39,,,,
CHXIV07,Roger Gerressen,The First Android Church Of Claude Shannon,Chapelle XIV Music,"LP, Album",,2024,32068479,Uncategorized,2026-07-31 19:52:48,,,,
12CHINC12,Draxx,Pumping (To The Rhythm),Cheiron,"12"", W/Lbl",,1994,14991602,Uncategorized,2026-08-12 01:33:41,,,,
CMC49,Rob Mello Featuring Cécile,Fantasize,Classic,"12""",,2002,23828,Uncategorized,2026-08-11 16:05:18,10,,,
"1003, CL 1003",Music For Lovers,Digital Stimulation,"Club B, Club B","12""",,1995,420011,Uncategorized,2026-08-06 17:19:22,10,,,
CMF002,Ronnie Echevierra & Pedro Quinn,Untitled,Concept N.Y.,"12"", EP",,1995,1355016,Uncategorized,2026-08-03 19:34:57,,,,
CON 39,The Purple Hospital,Delirious / Delirium,Confusion Records,"12""",,0,870296,Uncategorized,2026-08-07 17:25:14,5,,,
cr-10,mattrogg,Roggtrax ep,Consortium Records,"12"", EP",,2024,30570313,Uncategorized,2026-07-31 17:10:40,,,,
CR13,Trackmakers,Dance Business,Consortium Records,"12""",,2026,36109324,Uncategorized,2026-08-03 15:06:32,,,,
GRE00001,Deleyva,Happy Spaceman,Contakt Records,"12""",,2005,5553058,Uncategorized,2026-08-03 19:53:21,,,,
C/C002,Flabbergast (2),11:15 In Your Dream,Copier/Coller,"12""",,2024,32565006,Uncategorized,2026-07-29 19:07:01,,,,
C.R. 002,Steve Monroe,Are U A Disc Jockey?? / .1.2.3.Hit Me,Creative Records,"12""",,1988,614565,Uncategorized,2026-08-12 01:04:37,,,,
"CLAW 1403, CLAW 1404",First Offence (2),Come To Take Control,"Criminal Law Records, Criminal Law Records","12""",,0,1082480,Uncategorized,2026-08-12 01:48:56,,,,
CR-346,Peter Presta,Mix of Trixx (Part 3),Cutting Traxx,"12""",,1995,466317,Uncategorized,2026-08-11 14:13:05,10,,,
"DAN 665239 6, 14-665239-20",Ultimate Kaos,Casanova,"Dance Pool, Dance Pool","12""",,1997,5077422,Uncategorized,2026-08-05 19:17:16,20,,,
DF 1231,Electrohophead,Ehh-One / 3rd And 3rd,Dancefloor,"12""",,1991,119475,Uncategorized,2026-08-05 19:09:27,25,,,
"D.B.T. MIN - 03, D.B.T. - MIN - 03",Neitherworld,Winter Shadow,"Deep Bass Trance, Deep Bass Trance","12""",,0,1499947,Uncategorized,2026-08-08 17:11:08,15,,,
314 562 205-1,Case,Happily Ever After (Remix),Def Soul,"12""",,1999,3401539,Uncategorized,2026-08-11 16:07:43,5,,,
DOG111,Declan McDermott,Why Don't You Believe Me? EP,Delusions Of Grandeur,"12"", EP",,2026,37047450,Uncategorized,2026-08-05 17:04:53,25,,,
B-18,Stephen Stills,Best Of Stephen Stills,Denver Sounds,"8-Trk, Comp, Unofficial",,0,8614540,Uncategorized,2026-08-12 01:11:17,,,,
DFC 137,Trans-Mission,Nanah Trance,DFC,"12""",,1993,235970,Uncategorized,2026-08-03 19:36:33,,,,
MRC DIG 504,D's Craze,Anopsia,Digital Dungeon Records,"12""",,1991,384216,Uncategorized,2026-08-12 01:43:28,,,,
NEW TEST 019,UR[k]A!,Whisky & Coke,Disco Inn,"12""",,2002,2208599,Uncategorized,2026-08-03 19:31:40,,,,
DKTP06,Sasha Pervukhin,Rue Du Capitaine Madon 4 EP,Distrikt Paris,"12"", EP",,2025,33665745,Uncategorized,2026-07-31 16:52:42,,,,
DIS 031,Nebula,Molecular Pulsation,Disturbance,"12""",,1996,661607,Uncategorized,2026-08-12 01:51:14,,,,
DCD001,Various,Levatio Creatio Dvinatio,Domus Creatio Divinatio,"12"", EP",,2025,35119679,Uncategorized,2026-08-03 14:46:12,,,,
dor032,Shapeshifter (2),Flood,Dorigen Music,"12""",,2002,70366,Uncategorized,2026-08-05 15:11:08,15,,,
DRAFT 005,Blanche,Kurhaus Traxx,Draft Recordings,"12""",,1997,169411,Uncategorized,2026-08-11 13:55:54,15,,,
MMMM03,Various,Drum Syrup Vol. 3,Drum Syrup,"12""",,2026,37484349,Uncategorized,2026-07-31 20:23:50,,,,
DTI-008,Jonny Lexxs,Caffeine Grooves (Naturally Blended),Dynamic Trax International,"12""",,2000,2466250,Uncategorized,2026-08-12 03:00:49,,,,
0-66120,Adina Howard,My Up And Down,EastWest Records America,"12""",,1995,487640,Uncategorized,2026-08-03 20:25:33,5,,,
EZS-7576,Al Mack,Acid Tech High,Easy Street Records,"12""",,1992,611862,Uncategorized,2026-08-11 14:17:10,15,,,
ELMIL 01,"Luis Malon, Ovach",Two Bridges,El Milagro Records,"12""",,2016,8568014,Uncategorized,2026-07-30 13:14:58,,,,
0824,Glenn Miller,Glenn Miller,Elbo,"Cass, Comp, Unofficial",,0,11968352,Uncategorized,2026-08-12 01:44:51,,,,
0-66622,Deee-Lite,Groove Is In The Heart!!!,Elektra,"12"", Single",,1990,3967,Uncategorized,2026-08-05 16:30:56,20,,,
7559-66445-0,Pete Rock & C.L. Smooth,They Reminisce Over You (T.R.O.Y.),Elektra,"12""",,1992,139989,Uncategorized,2026-08-11 20:02:32,,,,
ED 5478,Keith Sweat,Make You Sweat (Norman Cook Mixes),Elektra,"12"", Promo",,1990,184880,Uncategorized,2026-08-12 00:27:48,,,,
VOY PORTI L-41852,Arango,Voy Porti,Elephant Records (4),"12"", W/Lbl",,0,1060426,Uncategorized,2026-08-12 12:01:55,10,,,
12 EMI 5175,Kraftwerk,Pocket Calculator,EMI,"12""",,1981,14907,Uncategorized,2026-08-05 16:28:56,15,,Generic,
EI206-6,W-O-O-D,II,Energy Industries,"12""",,1999,85863,Uncategorized,2026-08-11 14:46:32,10,,,
0201X31,DJ Apple / Lawrence Siegel,Concentration Breaker / Floorplay,Extract Records,"12""",,2002,442480,Uncategorized,2026-08-07 17:59:54,15,,,
FABRICLG4 EP,Laurent Garnier,FabricLG4 EP,Fabric (2),"12"", EP, Cle",,2024,32521554,Uncategorized,2026-07-31 17:04:20,,,,
LPE / 6073,Javier Garcia,Tranquila,FonoVisa,"12""",,1997,2374328,Uncategorized,2026-08-11 13:37:10,25,,,
FFANTQ001,Clebert,Fresque Fantastique Vol.1,Fresque Fantastique,"12""",,2018,11650425,Uncategorized,2026-08-05 16:55:40,15,,,
GEN 010,Sparky (4),As You Like It EP,Generations,"12"", EP",,1997,71846,Uncategorized,2026-08-11 15:46:20,15,,,
GETTRAUM016,Mateo Dufour,Break It Up,Gettraum,"12""",,2026,37189200,Uncategorized,2026-07-31 20:26:50,,,,
GSRV001,Various,Various Blend,Gin Sonic Records,"12""",,2026,36660883,Uncategorized,2026-08-03 18:53:22,,,,
GR069,Beastie Boys,Body Movin',Grand Royal,"12"", W/Lbl",,1999,46071,Uncategorized,2026-08-08 18:19:21,10,,,
SPRO 7087 6 13870 1 8,Beastie Boys,Alive,Grand Royal,"12"", Promo",,1999,158864,Uncategorized,2026-08-11 20:11:03,,,,
"GREEN 001, ONE",Unknown Artist,Just,"Green, Green","12""",,1996,94767,Uncategorized,2026-08-12 02:10:59,,,,
GDR 10005,Romina,Taking You Deep,Groove Daddy Records,"12""",,1994,453934,Uncategorized,2026-08-12 01:46:42,,,,
GSR-009,Raze,Jack Up Work Your Body,Grove St.,"12""",,1986,37936,Uncategorized,2026-08-12 01:17:56,,,,
119-341-048-1DJ,D'Mingo,Rumba,H.O.L.A. Recordings,"12"", Promo",,1998,15422560,Uncategorized,2026-08-12 01:22:59,,,,
119-341-061-1DJ,La Descarga,Baile,H.O.L.A. Recordings,"12"", Promo",,1998,6864683,Uncategorized,2026-08-03 19:08:53,,,,
"119-341-056-1, 119-341-056-1 ST01",Reign (4),Tu Pun Pun,"H.O.L.A. Recordings, H.O.L.A. Recordings","12""",,1998,4189005,Uncategorized,2026-08-12 12:08:46,5,,,
HAL9000/20,Takashi Tsuzuki,Soundview,Hal 9000,"12"", Yel",,2003,179342,Uncategorized,2026-08-03 20:13:11,,,,
HTCT01,Marius Acke,Happiness Therapy Crucial Traxx 01,Happiness Therapy,"12"", EP, RE, Bla",,2025,34546669,Uncategorized,2026-08-03 15:02:39,,,,
HB 005,Marco Cannata & Peter Haubfleisch,5th Babe!,Hey Babe!,"12""",,1996,497818,Uncategorized,2026-08-12 11:51:43,5,,,
HJA-8906,Thompson & Lenoir,Can't Stop The House,House Jam Records,"12""",,1989,1147965,Uncategorized,2026-08-12 03:08:23,,,,
HT013,The New Club House,Party House,House Traxx (2),"12""",,0,2494443,Uncategorized,2026-08-08 16:14:14,25,,,
TPR 0003,Kei-Tee,Midnight Operation / Shake,"I Noks, Tang Eyes","12"", Single, Promo",,1997,15741613,Uncategorized,2026-08-08 17:41:45,20,,,
IDK001,Awly,You Having Fun? EP,Idontknow,"12"", EP, whi",,2025,33036702,Uncategorized,2026-07-29 20:23:51,,,,
DJFERN 27,Dutch Force,Deadline,Inferno,"12"", Promo",,2000,73166,Uncategorized,2026-08-12 02:42:35,,,,
IR 41-12,Artificial Flavor,E Station E.P.,Influence Recordings,"12"", EP",,1995,154378,Uncategorized,2026-08-05 18:07:33,10,,,
IT 021-6,Geezer,Puff In Me Sock,Intensiv,"12""",,2002,139113,Uncategorized,2026-08-08 18:07:56,15,,,
IR 12,Tribal Quest,Jump,International Records,"12""",,0,7949921,Uncategorized,2026-08-05 16:19:16,10,,,
069497457-1,Mya,Case Of The Ex (Whatcha Gonna Do),Interscope Records,"12""",,2000,242703,Uncategorized,2026-08-07 17:13:27,5,,,
